en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
Asuncion,亚松森,亞松森,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Athens,雅典,雅典,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atikokan,阿蒂科坎,阿蒂科肯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atka,阿特卡,阿特卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atlantic,大西洋,大西洋,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Atyrau,阿特劳,阿特勞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Auckland,奥克兰,奧克蘭,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Australia,澳大利亚,澳洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Azores,亚速尔群岛,亞述群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Baghdad,巴格达,巴格達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahia,巴伊亚,巴伊亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahia Banderas,巴伊亚班德拉斯,班德拉斯灣,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bahrain,巴林,巴林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Baku,巴库,巴庫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bamako,巴马科,巴馬科,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bangkok,曼谷,曼谷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bangui,班吉,班基,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Banjul,班珠尔,班竹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Barbados,巴巴多斯,巴貝多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Barnaul,巴尔瑙尔,巴爾瑙爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Beirut,贝鲁特,貝魯特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belem,贝伦,貝倫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belfast,贝尔法斯特,貝爾發斯特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belgrade,贝尔格莱德,貝爾格勒,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Belize,伯利兹,貝里斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Berlin,柏林,柏林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bermuda,百慕大,百慕達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Beulah,比尤拉,比尤拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bishkek,比什凯克,比斯凱克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bissau,比绍,比索,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Blanc-Sablon,布朗萨布隆,布郎薩布隆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Blantyre,布兰太尔,布藍泰爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Boa Vista,博阿维斯塔,博阿維斯塔島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bogota,波哥大,波哥大,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Boise,博伊西,波夕,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bougainville,布干维尔岛,布干維爾島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bratislava,布拉迪斯拉发,布拉提斯拉瓦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,, 
Brazzaville,布拉柴维尔,布拉薩市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brisbane,布里斯班,布里斯本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Broken Hill,布罗肯希尔,布羅肯希爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
browser,浏览器,瀏覽器,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brunei,文莱,汶萊,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Brussels,布鲁塞尔,布魯塞爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bucharest,布加勒斯特,布加勒斯特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Budapest,布达佩斯,布達佩斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Buenos Aires,布宜诺斯艾利斯,布宜諾斯艾利斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Bujumbura,布琼布拉,布松布拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Busingen,布辛根,布辛根,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cairo,开罗,開羅,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Calcutta,加尔各答,加爾各答,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cambridge Bay,剑桥湾,劍橋灣,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Campo Grande,大坎普,格蘭德營,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Canary,加那利群岛,加那利群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Canberra,堪培拉,坎培拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cancun,坎昆,坎昆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cape Verde,佛得角,維德角,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Caracas,加拉加斯,卡拉卡斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Casablanca,卡萨布兰卡,卡薩布蘭卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Casey,开西站,開西站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Catamarca,卡塔马卡,卡達馬卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cayenne,开云,開雲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cayman,开曼群岛,開曼群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Center,中心市,中心市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ceuta,休达,修達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chagos,查戈斯,查哥斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chatham,查塔姆,查塔姆群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chicago,芝加哥,芝加哥,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chihuahua,奇瓦瓦州,赤瓦瓦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chisinau,基希讷乌,奇西瑙,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chita,赤塔,赤塔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Choibalsan,乔巴山,喬巴山,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chongqing,重庆,重慶,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Christmas,圣诞岛,聖誕島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chungking,重庆,重慶,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Chuuk,楚克岛,楚克島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cocos,科科斯,可可斯群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Colombo,科伦坡,可倫坡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
ComodRivadavia,科莫德里瓦达维亚,科木多洛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Comoro,科摩罗,葛摩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Conakry,科纳克里,科納克里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Copenhagen,哥本哈根,哥本哈根,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Coral Harbour,珊瑚港,珊瑚港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cordoba,科尔多瓦,科多瓦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Costa Rica,哥斯达黎加,哥斯大黎加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Creston,克雷斯顿,克雷斯頓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Cuiaba,库亚巴,古雅巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Curacao,库拉索,古拉果,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Currie,柯里,柯里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dacca,达卡,達卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dakar,达喀尔,達卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Damascus,大马士革,大馬士革,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Danmarkshavn,丹麦港,格陵蘭,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dar es Salaam,达累斯萨拉姆,達萊撒蘭,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Darwin,达尔文,達爾文,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Davis,戴维斯站,戴維斯站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dawson,道森市,道森市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dawson Creek,道森克里克,道森河市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Denver,丹佛,丹佛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Detroit,底特律,底特律,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dhaka,达卡,達卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dili,帝力,帝利,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Djibouti,吉布提,吉布地,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dominica,多米尼加,多明尼加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Douala,杜阿拉,杜阿拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dubai,迪拜,杜拜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dublin,都柏林,都柏林,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
DumontDUrville,杜蒙·杜维尔,迪蒙·迪維爾站,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Dushanbe,杜尚别,杜尚貝,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Easter,复活节岛,復活節島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Edmonton,埃德蒙顿,艾德蒙頓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Efate,埃法特,愛發提,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Eirunepe,埃鲁内佩,埃魯內佩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
El Aaiun,埃尔阿尤恩,阿尤恩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
El Salvador,萨尔瓦多,薩爾瓦多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Enderbury,恩德伯里岛,恩德伯里島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ensenada,恩塞纳达,恩瑟納達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Eucla,尤克拉,尤克拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Europe,欧洲,歐洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Faeroe,法罗群岛,法羅群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fakaofo,法考福,法克奧佛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Famagusta,法马古斯塔,法馬古斯塔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Faroe,法罗群岛,法羅群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fiji,斐济,斐濟,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fort Nelson,纳尔逊堡,納爾遜堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fort Wayne,韦恩堡,韋恩堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fortaleza,福塔雷萨,福塔力沙,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Freetown,弗里敦,自由城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Funafuti,富纳富提,富納富提,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Gaborone,哈博罗内,嘉柏隆里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Galapagos,加拉帕戈斯群岛,加拉巴哥群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Gambier,甘比尔群岛,甘比爾群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Gaza,加沙,加薩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Gibraltar,直布罗陀,直布羅陀,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Glace Bay,格莱斯湾,格萊斯貝,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Godthab,戈特霍布,哥特哈布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Goose Bay,古斯湾,古斯貝,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Grand Turk,大特克岛,格蘭土克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Greenwich,格林威治,格林威治,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Grenada,格林纳达,格瑞那達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guadalcanal,瓜达尔卡纳尔岛,瓜達卡那島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,瓜德罗普岛,瓜地洛普,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guam,关岛,關島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guatemala,危地马拉,瓜地馬拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guayaquil,瓜亚基尔,圭亞基爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guernsey,根西岛,根西島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guyana,圭亚那,蓋亞那,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Halifax,哈利法克斯,哈利法克斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Harare,哈拉雷,哈拉雷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Harbin,哈尔滨,哈爾濱,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Havana,哈瓦那,哈瓦那,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Hebron,希伯伦,希伯侖,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Helsinki,赫尔辛基,赫爾辛基,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Hermosillo,埃莫西约,埃莫西約,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ho Chi Minh,胡志明市,胡志明市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Hobart,霍巴特,霍巴特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Hong Kong,香港,香港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Honolulu,檀香山,檀香山,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Hovd,科布多,哈霍德,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Indian,印度,印度,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Indiana,印第安纳州,印第安那州,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Indianapolis,印第安纳波利斯,印第安納波利斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Inuvik,因纽维克,因紐維克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Iqaluit,伊卡卢伊特,伊魁特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Irkutsk,伊尔库茨克,伊爾庫次克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Isle of Man,马恩岛,曼島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Istanbul,伊斯坦布尔,伊斯坦堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jakarta,雅加达,雅加達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jamaica,牙买加,牙買加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jan Mayen,扬马延岛,央棉群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jayapura,查亚普拉,嘉雅浦拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jersey,泽西岛,澤西島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jerusalem,耶路撒冷,耶路撒冷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Johannesburg,约翰内斯堡,約翰尼斯堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Johnston,约翰斯顿,詹斯頓島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Juba,朱巴,朱巴,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Jujuy,胡胡伊省,胡胡伊,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Juneau,朱诺,朱諾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kabul,喀布尔,喀布爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kaliningrad,加里宁格勒,卡里寧格勒,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kamchatka,堪察加半岛,堪察加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kampala,坎帕拉,坎帕拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kanton,坎顿,坎頓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Karachi,卡拉奇,克洛奇,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kashgar,喀什市,喀什市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kathmandu,加德满都,加德滿都,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Katmandu,加德满都,加德滿都,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kentucky,肯塔基州,肯塔基州,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kerguelen,凯尔盖朗,凱爾蓋朗群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Khandyga,汉德加,漢德加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Khartoum,喀土穆,喀土穆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kiev,基辅,基輔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kigali,基加利,吉佳利,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kinshasa,金沙萨,金夏沙,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kiritimati,基里蒂马蒂,刻里提瑪斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kirov,基洛夫,基洛夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Knox,诺克斯,諾克斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Knox IN,诺克斯,諾克斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kolkata,加尔各答,加爾各答,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kosrae,科斯雷,科瑟爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kralendijk,克拉伦代克,克拉倫代克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Krasnoyarsk,克拉斯诺亚尔斯克,克拉斯諾亞爾斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kuala Lumpur,吉隆坡,吉隆坡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kuching,古晋,古晉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kuwait,科威特,科威特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kwajalein,夸贾林环礁,瓜加林島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Kyiv,基辅,基輔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
La Paz,拉巴斯,拉帕茲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
La Rioja,拉里奥哈,拉里奧哈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lagos,拉各斯,拉哥斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Libreville,利伯维尔,自由市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lima,利马,利馬,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lindeman,林德曼岛,林德曼島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
